triple,truth
Abel Gance directed The Ironmaster,1
Zack Morris isMarriedTo Kelly Kapowski,1
Alan Alda created Sweet Liberty,1
Ferdinand II of Aragon isMarriedTo Isabella I of Castile,1
King Vidor created Wild Oranges,1
Joseph Warder diedIn Jeffersonville  Indiana,1
Alan Rudolph created Choose Me,1
Chan Hung-lit isMarriedTo Angela Pan,1
Alexandrine of Mecklenburg-Schwerin isMarriedTo Christian X of Denmark,1
Zita of Bourbon-Parma isMarriedTo Charles I of Austria,1
Emma Heming isMarriedTo Bruce Willis,1
Abel Gance created The Tenth Symphony,1
Natalie Buchanan isMarriedTo Cristian Vega,1
Kate Isitt isMarriedTo Nigel Cole,1
Quentin Tarantino created Grave Danger,0
Sunil Dutt actedIn Reshma Aur Shera,1
Artie Lange actedIn Artie Lange's Beer League,1
Marco Ferreri directed L'udienza,1
Henry Washington Younger isMarriedTo Bersheba Leighton Fristoe,1
Michael Dowse directed FUBAR 2  film ,1
Vladimir Nabokov isMarriedTo Vera Nabokov,1
Jamil Dehlavi produced The Blood of Hussain,1
Victoria of Baden isMarriedTo Gustaf V of Sweden,1
Jacques Doillon directed Family Life  1985 film ,1
Ann Keen isMarriedTo Alan Keen,1
Queen Anne-Marie of Greece isMarriedTo Constantine II of Greece,1
Steven E. de Souza created Possessed  2000 film ,1
Simon Templeman isMarriedTo Rosalind Chao,1
Lucien Hubbard directed The Mysterious Island  1929 film ,1
Leonid Trauberg created The Vyborg Side,1
Bertrade de Montfort isMarriedTo Philip I of France,1
Noboru Iguchi directed RoboGeisha,1
Benito Alazraki created Roots  film ,1
Xander Berkeley isMarriedTo Sarah Clarke,1
Abel Gance created The Mask of Horror,1
Frank Fay  American actor  isMarriedTo Barbara Stanwyck,1
Carlos Thompson isMarriedTo Lilli Palmer,1
Seth Gabel isMarriedTo Bryce Dallas Howard,1
Nikolai Kulikovsky isMarriedTo Grand Duchess Olga Alexandrovna of Russia,1
Mai Zetterling created Loving Couples  1964 film ,0
Saif Ali Khan isMarriedTo Amrita Singh,1
Gloria Marsh isMarriedTo Adam Chandler,1
Debsirindra isMarriedTo Mongkut,1
Elisabeth of Wied isMarriedTo Carol I of Romania,1
Nelson George created Life Support  film ,1
Alan Rudolph directed Afterglow  film ,1
Grand Duchess Alexandra Georgievna of Russia isMarriedTo Grand Duke Paul Alexandrovich of Russia,1
Sri Sulalai isMarriedTo Buddha Loetla Nabhalai,1
Quentin Tarantino actedIn My Best Friend's Birthday,1
Warren Beatty created Bulworth,1
Quentin Tarantino produced From Dusk till Dawn,1
Constance of Aragon isMarriedTo Emeric of Hungary,1
Gertrude of Merania isMarriedTo Andrew II of Hungary,1
Chulalongkorn isMarriedTo Saovabha Bongsri,1
Abhishek Bachchan isMarriedTo Aishwarya Rai,1
Ronald Reagan isMarriedTo Nancy Reagan,1
Leander Haußmann directed NVA  film ,1
Sidney Luft isMarriedTo Lynn Bari,1
Alex Chandon directed Bad Karma  1991 film ,1
Ethan Winthrop isMarriedTo Theresa Lopez-Fitzgerald Crane,1
David Gest isMarriedTo Liza Minnelli,1
Margaret of Valois isMarriedTo Henry IV of France,1
Pierce Brosnan isMarriedTo Keely Shaye Smith,1
Robin Williams created Mrs. Doubtfire,1
Jennifer Rappaport isMarriedTo Rex Balsom,1
Eric Byler created Americanese,1
Mutemwiya isMarriedTo Thutmose IV,1
Andrew Lane produced Jake Speed,1
Henri-Georges Clouzot created La Vérité  film ,1
Jeffrey Hunter isMarriedTo Barbara Rush,1
Clive Barker directed Lord of Illusions,1
Sophia Magdalena of Denmark isMarriedTo Gustav III of Sweden,1
Tiye isMarriedTo Amenhotep III,1
Peter Gilmore isMarriedTo Jan Waters,1
Keely Shaye Smith isMarriedTo Pierce Brosnan,1
Masud Ahmad worksAt Pakistan Atomic Energy Commission,1
Abel Gance created The Zone of Death,1
Leonid Trauberg directed The Vyborg Side,1
Alex Chandon created Drillbit  film ,1
Colin Mochrie isMarriedTo Debra McGrath,1
Neil Gaiman directed A Short Film About John Bolton,1
Gauri Pradhan Tejwani isMarriedTo Hiten Tejwani,1
Marie de' Medici isMarriedTo Henry IV of France,1
Maria Feodorovna  Dagmar of Denmark  isMarriedTo Alexander III of Russia,1
Henry I of France isMarriedTo Anne of Kiev,1
Marco Ferreri created Bye Bye Monkey,1
François Dupeyron created Monsieur Ibrahim,1
Jackson Montgomery isMarriedTo Erica Kane,1
Cassandra Harris isMarriedTo Pierce Brosnan,1
Fernando Cerchio created Lulu  1953 film ,1
Warren Beatty produced Heaven Can Wait  1978 film ,0
Kevin Buchanan isMarriedTo Kelly Cramer,1
Fernando Cerchio directed Lulu  1953 film ,1
Maria Christina of Savoy isMarriedTo Ferdinand II of the Two Sicilies,1
Kelly Cramer isMarriedTo Joey Buchanan,1
Tony McHale created Carol Jackson,1
Pieter Verhoeff directed Mates  film ,1
Cliff Robertson produced J. W. Coop,1
Duke Karl-Theodor in Bavaria isMarriedTo Princess Sophie of Saxony,1
Catherine de' Medici isMarriedTo Henry II of France,1
Warren Beatty directed Dick Tracy  1990 film ,1
Kenneth Branagh produced Love's Labour's Lost  2000 film ,1
Dudley Moore isMarriedTo Suzy Kendall,1
Mongkut isMarriedTo Pannarai,1
Ferdinand VII of Spain isMarriedTo Maria Christina of the Two Sicilies,1
Johann Georg Macasius livesIn Germany,1
Leonid Trauberg created Simple People,1
Jan Waters isMarriedTo Peter Gilmore,1
Brooke English hasChild Tad Martin,1
Tina Lord isMarriedTo David Vickers,1
Jacques Feyder directed Crainquebille,1
Louise of Mecklenburg-Strelitz isMarriedTo Frederick William III of Prussia,1
Eleanor Boardman isMarriedTo King Vidor,1
Henry Hotspur Percy isMarriedTo Lady Elizabeth Mortimer,1
Princess Marie of Denmark isMarriedTo Prince Joachim of Denmark,1
Princess Margaret of Connaught isMarriedTo Gustaf VI Adolf of Sweden,1
Pierce Brosnan isMarriedTo Cassandra Harris,1
Harold Nicholas isMarriedTo Dorothy Dandridge,1
Jonathan Lee  record producer  isMarriedTo Sandy Lam,1
Tony McHale created Billie Jackson,1
Abel Gance produced J'accuse!  1938 film ,1
Princess Amalie of Hohenzollern-Sigmaringen isMarriedTo Prince Eduard of Saxe-Altenburg,1
Michael Langone created Recovery from Cults,1
Soamsavali Kitiyakara isMarriedTo Vajiralongkorn,1
Judy Carne isMarriedTo Burt Reynolds,1
Mohéli hasOfficialLanguage Arabic language,1
Saeed Akhtar Mirza directed Albert Pinto Ko Gussa Kyon Aata Hai,1
Princess Dorothea of Bavaria isMarriedTo Archduke Gottfried of Austria,1
Nazli Sabri isMarriedTo Fuad I of Egypt,1
Blanche I of Navarre isMarriedTo John II of Aragon,1
Emilio Fernández created The Torch  film ,1
Clive Barker produced Lord of Illusions,1
Warren Beatty actedIn Love Affair  1994 film ,1
Marco Ferreri directed Don't Touch the White Woman!,1
Cristian Vega isMarriedTo Natalie Buchanan,1
Kenneth Branagh isMarriedTo Emma Thompson,1
Mark E. Kelly isMarriedTo Gabrielle Giffords,1
Mohéli hasOfficialLanguage Comorian language,1
Ruth Martin  All My Children  hasChild Joe Martin  All My Children ,1
Gustaf VI Adolf of Sweden isMarriedTo Louise Mountbatten,1
Christian X of Denmark isMarriedTo Alexandrine of Mecklenburg-Schwerin,1
Wendi Deng isMarriedTo Rupert Murdoch,1
Nora Hanen isMarriedTo Bo Buchanan,1
King Vidor directed Bud's Recruit,1
King Vidor created Love Never Dies  1921 film ,1
Alan Alda created The Four Seasons  film ,1
Dimitri Marick isMarriedTo Gloria Marsh,1
Frances Langford isMarriedTo Jon Hall,1
Prince Paul of Württemberg isMarriedTo Princess Charlotte of Saxe-Hildburghausen,1
Albert Einstein isMarriedTo Mileva Marić,1
Jeffrey Byron isMarriedTo Gail O'Grady,1
Bolesław IV the Curly isMarriedTo Viacheslava of Novgorod,1
Artie Lange produced Artie Lange's Beer League,1
Nathan Hastings isMarriedTo Olivia Winters,1
Dorian Lord isMarriedTo Mitch Laurence,1
Vasili III of Russia isMarriedTo Solomonia Saburova,1
Peter III of Russia isMarriedTo Catherine II of Russia,1
Abel Gance actedIn End of the World  1931 film ,1
Michael Bell  mayor  livesIn Toledo  Ohio,1
Saeed Akhtar Mirza produced Mohan Joshi Hazir Ho!,1
Martin Lawrence actedIn You So Crazy,1
Elena Glinskaya isMarriedTo Vasili III of Russia,1
Natalie Buchanan isMarriedTo Mitch Laurence,1
Leopold III of Belgium isMarriedTo Astrid of Sweden,1
Amitabh Bachchan isMarriedTo Jaya Bachchan,1
Paloma Lopez-Fitzgerald isMarriedTo Noah Bennett,1
Norodom Sihanouk produced My Village at Sunset,1
Joseph Heller created Catch-22,1
Dragan Nikolić isMarriedTo Milena Dravić,1
Amrita Singh isMarriedTo Saif Ali Khan,1
Leonard Woolf isMarriedTo Virginia Woolf,1
Saeed Akhtar Mirza created Mohan Joshi Hazir Ho!,1
Thutmose IV isMarriedTo Mutemwiya,1
Leander Haußmann created Sonnenallee,1
Steve Carell isMarriedTo Nancy Carell,1
Debra McGrath isMarriedTo Colin Mochrie,1
Lilli Palmer isMarriedTo Rex Harrison,1
Šarūnas Bartas created Few of Us,1
Rosalind Chao isMarriedTo Simon Templeman,1
Joe McStravick produced Murphy 771,0
Marco Ferreri directed The Ape Woman,1
Abel Gance directed J'accuse!  1938 film ,1
Saovabha Bongsri isMarriedTo Chulalongkorn,1
Kenneth Branagh directed Love's Labour's Lost  2000 film ,1
Joe Martin  All My Children  hasChild Ruth Martin  All My Children ,1
Hoyan Mok isMarriedTo Alex Fong  actor ,1
Kenneth Branagh directed Henry V  1989 film ,1
Emilio Fernández directed Flor Silvestre,1
Luis Bayón Herrera directed Jettatore,1
Peter Sollett produced Raising Victor Vargas,1
Sandra Goldbacher created Me Without You  film ,1
Queen Sofía of Spain isMarriedTo Juan Carlos I of Spain,1
Daniel C. Miller isLeaderOf Harrisburg  Pennsylvania,1
Countess Palatine Anne Christine of Sulzbach isMarriedTo Charles Emmanuel III of Sardinia,1
Burt Reynolds isMarriedTo Loni Anderson,1
Héctor Soberón isMarriedTo Michelle Vieth,1
Ingrid of Sweden isMarriedTo Frederick IX of Denmark,1
Irving Thalberg isMarriedTo Norma Shearer,1
Abel Gance directed Les Gaz mortels,1
Michael Langone isKnownFor Recovery from Cults,1
Dulce of Aragon isMarriedTo Sancho I of Portugal,1
Ishirō Honda directed Destroy All Monsters,1
Marshall Brickman created The Manhattan Project  film ,1
Cornel West isKnownFor Race Matters,1
Akhenaten isMarriedTo Nefertiti,1
Suvadhana isMarriedTo Vajiravudh,1
Maud of Savoy isMarriedTo Afonso I of Portugal,1
Emilio Fernández directed Maclovia  1948 film ,1
Jean-Pierre Bekolo produced Les Saignantes,1
Sibila of Fortia isMarriedTo Peter IV of Aragon,1
Marco Ferreri created I Love You  1986 film ,1
Padma Lakshmi isMarriedTo Salman Rushdie,1
Stephen V of Hungary isMarriedTo Elizabeth the Cuman,1
Stephen of England isMarriedTo Matilda of Boulogne,1
Tzang Merwyn Tong directed A Wicked Tale,1
Virginia Woolf isMarriedTo Leonard Woolf,1
Steven E. de Souza created Arnold's Wrecking Co.,1
James Cruze isMarriedTo Betty Compson,1
Abel Gance directed The Mask of Horror,1
Neela Rasgotra isMarriedTo Ray Barnett,1
Craig Ferguson created I'll Be There  film ,1
Norodom Sihanouk produced An Ambition Reduced to Ashes,1
James Cruze isMarriedTo Marguerite Snow,1
Aishwarya Rai isMarriedTo Abhishek Bachchan,1
Brooke English isMarriedTo Adam Chandler,1
Rex Harrison isMarriedTo Kay Kendall,1
Brian Benben isMarriedTo Madeleine Stowe,1
Carol I of Romania isMarriedTo Elisabeth of Wied,1
Mahidol Adulyadej isMarriedTo Srinagarindra,1
Harley Cooper isMarriedTo Gus Aitoro,1
Blair Cramer hasChild Todd Manning,1
Camille Keaton isMarriedTo Meir Zarchi,1
Marco Ferreri directed The Conjugal Bed,1
Jacques Doillon directed Ponette,1
Allan Steiger isMarriedTo Janelle Timmins,1
Liang Sicheng isMarriedTo Lin Huiyin,1
Joseph Warder wasBornIn Jeffersonville  Indiana,1
Henri-Georges Clouzot isMarriedTo Véra Clouzot,1
Antonio Vega isMarriedTo Jessica Buchanan,1
Emma Thompson isMarriedTo Greg Wise,1
Michelle Vieth isMarriedTo Héctor Soberón,1
Jon Hall isMarriedTo Raquel Torres,1
Harry Enfield produced Kevin & Perry Go Large,0
Jacques Doillon directed The Hussy,1
Zak Penn directed The Grand  film ,1
Joey Buchanan isMarriedTo Kelly Cramer,1
Alyce Faye Eichelberger isMarriedTo John Cleese,1
Anna Rice Cooke isMarriedTo Charles Montague Cooke,1
Max Jacoby created Dust  2009 film ,1
Michael Tolkin directed The Rapture  film ,1
Samuel Augustus Barnett isMarriedTo Henrietta Barnett,1
Caroline Ingalls isMarriedTo Charles Ingalls,1
Elissa Ambrose hasChild Sarah Mlynowski,1
Salman Rushdie isMarriedTo Padma Lakshmi,1
Shuji Kataoka directed S&M Hunter,1
Emilio Fernández directed Pueblerina,1
Jack Lemmon isMarriedTo Felicia Farr,1
Sirikit isMarriedTo Bhumibol Adulyadej,1
Nancy Juvonen isMarriedTo Jimmy Fallon,1
Michele Lupo directed The Master Touch,1
Bernd von Beyenbach isMarriedTo Carla von Lahnstein,1
Gustaf VI Adolf of Sweden isMarriedTo Princess Margaret of Connaught,1
Harley Cooper hasChild Phillip Spaulding,1
Vilsoni Hereniko produced The Land Has Eyes,1
Amenhotep III isMarriedTo Tiye,1
Phyllis Logan isMarriedTo Kevin McNally,1
Savang Vadhana isMarriedTo Chulalongkorn,1
Norodom Sihanouk directed An Ambition Reduced to Ashes,1
Meir Zarchi isMarriedTo Camille Keaton,1
Prince René of Bourbon-Parma isMarriedTo Princess Margaret of Denmark,1
Paul Auster directed Lulu on the Bridge,1
Bersheba Leighton Fristoe isMarriedTo Henry Washington Younger,1
Joachim Murat isMarriedTo Caroline Bonaparte,1
Donald Knuth created TeX,1
Abel Gance directed The Zone of Death,1
George V of the United Kingdom isMarriedTo Mary of Teck,1
Marco Ferreri created El Cochecito,1
Mary of Teck isMarriedTo George V of the United Kingdom,1
Sandra Goldbacher created The Governess,1
Albert II of Belgium isMarriedTo Queen Paola of Belgium,1
Wenceslaus II of Bohemia isMarriedTo Judith of Habsburg,1
Joe McStravick created Murphy 771,1
Alan Alda isMarriedTo Arlene Alda,1
Maurice Cloche created Peppino e Violetta,1
Bill Condon created Dreamgirls  film ,1
Germanicus isMarriedTo Agrippina the Elder,1
Lucien Hubbard directed Rose-Marie  1928 film ,1
Jean-Pierre Bekolo created Les Saignantes,1
Bert Haanstra created Fanfare  film ,1
Tamiliam Subas created Vanni Mouse,1
Prince Henry of Battenberg isMarriedTo Princess Beatrice of the United Kingdom,1
Philip I of Castile isMarriedTo Joanna of Castile,1
Camille Keaton isMarriedTo Sidney Luft,1
Allan Steiger isMarriedTo Christine Rodd,1
Archduchess Theresa of Austria  b. 1931  isMarriedTo Prince Rasso of Bavaria,1
Kim Timmins isMarriedTo Janelle Timmins,1
Brian Baker  actor  isMarriedTo Terry Farrell  actress ,1
Vic Morrow created A Man Called Sledge,1
Victor Salva directed Clownhouse,1
Terry Farrell  actress  isMarriedTo Brian Baker  actor ,1
Jaromil Jireš directed The Cry  1963 film ,1
Clint Buchanan isMarriedTo Nora Hanen,1
Prince Valdemar of Denmark isMarriedTo Princess Marie of Orléans  1865–1909 ,1
Al Pacino created Looking for Richard,0
Henry IV of France isMarriedTo Marie de' Medici,1
Isabella I of Castile isMarriedTo Ferdinand II of Aragon,1
Dudley Moore isMarriedTo Tuesday Weld,1
Harley Cooper isMarriedTo Phillip Spaulding,1
Greg Wise isMarriedTo Emma Thompson,1
Martin Lawrence produced You So Crazy,1
Dominique Deruddere created Everybody's Famous!,1
Will Self isMarriedTo Deborah Orr,1
JR Chandler hasChild Marissa Tasker,1
Christopher Knight isMarriedTo Adrianne Curry,1
Maria Carolina of Austria isMarriedTo Ferdinand I of the Two Sicilies,1
Adelaide of Saxe-Meiningen isMarriedTo William IV of the United Kingdom,1
Emilio Estevez directed The War at Home  film ,1
Ward Kimball directed Man in Space,1
Bruce Willis isMarriedTo Emma Heming,1
Maria Josepha of Austria isMarriedTo Augustus III of Poland,1
Jamil Dehlavi directed The Blood of Hussain,1
Juana Enríquez isMarriedTo John II of Aragon,1
Sylvia Anderson isMarriedTo Gerry Anderson,1
Louis XI of France isMarriedTo Charlotte of Savoy,1
Cliff Robertson actedIn J. W. Coop,1
Isabel Coixet created The Secret Life of Words,1
Daniel Rodney diedIn Lewes  Delaware,1
Abel Gance directed La Digue  film ,1
Hermann Einstein isMarriedTo Pauline Koch,1
Charles III of Spain isMarriedTo Maria Amalia of Saxony,1
Margaret Leighton isMarriedTo Laurence Harvey,1
Daniel Rodney wasBornIn Lewes  Delaware,1
David Dhawan created Taaqatwar,1
Emilio Fernández created Río Escondido  1948 film ,1
Deborah Orr isMarriedTo Will Self,1
King Vidor directed Love Never Dies  1921 film ,1
Marco Ferreri created The Story of Piera,1
Eric Byler directed Americanese,1
Maria Josepha of Saxony isMarriedTo Ferdinand VII of Spain,1
Dani Levy directed Alles auf Zucker!,1
Umaru Yar'Adua isMarriedTo Turai Yar'Adua,1
Saeed Akhtar Mirza directed Arvind Desai Ki Ajeeb Dastaan,1
Prince George Valdemar of Denmark isMarriedTo Princess Anne of Denmark,1
Guan Hu created Dirt  1994 film ,1
Abel Gance directed Le périscope,1
Judith of Bohemia isMarriedTo Władysław I Herman,1
Richard Attenborough isMarriedTo Sheila Sim,1
Benito Alazraki created Santo Contra los Zombis,1
Saeed Akhtar Mirza directed Salim Langde Pe Mat Ro,1
Jacques Feyder created Crainquebille,1
John I of Aragon isMarriedTo Martha of Armagnac,1
Rodney Dangerfield actedIn Rover Dangerfield,1
Therese of Saxe-Hildburghausen isMarriedTo Ludwig I of Bavaria,1
Michel Houellebecq created La Possibilité d'une île  film ,1
Henri-Georges Clouzot created Le Corbeau,1
Abel Gance created Un drame au château d'Acre,1
David Vickers isMarriedTo Tina Lord,1
Harriet G. Walker isMarriedTo T. B. Walker,1
Prince Karl Anton of Hohenzollern isMarriedTo Princess Joséphine Caroline of Belgium,1
Comoros hasOfficialLanguage Comorian language,1
Jim Carrey isMarriedTo Lauren Holly,1
Frederick IX of Denmark isMarriedTo Ingrid of Sweden,1
Palito Ortega directed El Tío Disparate,1
Aldo Ray isMarriedTo Jeff Donnell,1
Marco Ferreri created Don't Touch the White Woman!,1
Marco Ferreri directed Liza  film ,1
Pierre Andre directed I'm Not Single,1
Lindsay Rappaport isMarriedTo Clint Buchanan,1
Isabel Coixet directed The Secret Life of Words,1
Princess Maria Elisabeth of Bavaria isMarriedTo Prince Pedro Henrique of Orléans-Braganza,1
Summer Roberts isMarriedTo Seth Cohen,1
Nasser Taghvai directed Tales of Kish,1
Cornel West created Race Matters,1
Benito Alazraki directed Santo Contra los Zombis,1
Władysław I Herman isMarriedTo Judith of Bohemia,1
Louise Mountbatten isMarriedTo Gustaf VI Adolf of Sweden,1
Henry VI of England isMarriedTo Margaret of Anjou,1
Nasser Taghvai directed Captain Khorshid,1
Frederick Augustus II of Saxony isMarriedTo Archduchess Marie Caroline of Austria,1
Jimmy Fallon isMarriedTo Nancy Juvonen,1
Emma Thompson isMarriedTo Kenneth Branagh,1
Palito Ortega produced El Tío Disparate,1
Prince Muhammad bin Talal isMarriedTo Princess Firyal of Jordan,1
Constance of Austria isMarriedTo Sigismund III Vasa,1
Kay Bennett isMarriedTo Miguel Lopez-Fitzgerald,1
Manish Gupta created The Stoneman Murders,1
Eddie Griffin created Dysfunktional Family,1
François Dupeyron directed Monsieur Ibrahim,1
Gaby Dellal isMarriedTo Eric Fellner,1
Kimberly Kagan isMarriedTo Frederick Kagan,1
Isabella of Burgundy  1270–1323  isMarriedTo Rudolph I of Germany,1
Margaret of Anjou isMarriedTo Henry VI of England,1
Mohéli isLocatedIn Comoros,1
Alex Chandon actedIn Bad Karma  1991 film ,1
Paul Spence created FUBAR 2  film ,1
Gustaf V of Sweden isMarriedTo Victoria of Baden,1
Jay Leno isMarriedTo Mavis Leno,1
Kenneth Branagh created Love's Labour's Lost  2000 film ,1
Richard Francis Burton isMarriedTo Isabel Burton,1
Grand Empress Dowager Shangguan isMarriedTo Emperor Zhao of Han,1
Sophie Amalie of Brunswick-Lüneburg isMarriedTo Frederick III of Denmark,1
Quentin Tarantino directed My Best Friend's Birthday,1
Alexandre Astruc directed The Crimson Curtain,1
Daniel Rodney livesIn Lewes  Delaware,1
Jacques Doillon directed The Pirate  1984 film ,1
Anne Jeffreys isMarriedTo Robert Sterling,1
Noboru Iguchi created RoboGeisha,1
Jacques Feyder created L'Atlantide  1921 film ,1
Zak Penn created The Grand  film ,1
Harry Enfield actedIn Kevin & Perry Go Large,1
Joseph Warder livesIn Jeffersonville  Indiana,1
Emilio Fernández directed The Torch  film ,1
Lin Huiyin isMarriedTo Liang Sicheng,1
Barbara Steele isMarriedTo James Poe,1
Tony Bui created Three Seasons,1
Jessica Bennett isMarriedTo Spike Lester,1
Román Viñoly Barreto directed La Bestia debe morir,1
Pieter Verhoeff created Mates  film ,1
Princess Béatrice of Bourbon-Two Sicilies isMarriedTo Charles Napoléon,1
Šarūnas Bartas directed Few of Us,1
Laurence Harvey isMarriedTo Margaret Leighton,1
Claudius isMarriedTo Agrippina the Younger,1
James Rubin isMarriedTo Christiane Amanpour,1
Tony Bui directed Three Seasons,1
Beatrice d'Este isMarriedTo Ludovico Sforza,1
Kenneth Branagh created A Midwinter's Tale,1
Kenneth Branagh created Henry V  1989 film ,1
John Cleese isMarriedTo Connie Booth,1
Ansgar von Lahnstein isMarriedTo Nathalie Käppler,1
Mai Zetterling directed Loving Couples  1964 film ,1
Mongkut isMarriedTo Debsirindra,1
King Vidor isMarriedTo Eleanor Boardman,1
Suzy Kendall isMarriedTo Dudley Moore,1
Paul Spence actedIn FUBAR  film ,1
Robert Nathan isMarriedTo Anna Lee,1
Siva Selliah diedIn Colombo,1
George P. Putnam isMarriedTo Amelia Earhart,1
Madeleine Stowe isMarriedTo Brian Benben,1
JR Chandler isMarriedTo Marissa Tasker,1
Abel Gance created La Folie du Docteur Tube,1
David Vickers isMarriedTo Dorian Lord,1
Daniel C. Miller wasBornIn Harrisburg  Pennsylvania,1
Umberto I of Italy isMarriedTo Margherita of Savoy,1
Emilio Fernández created Flor Silvestre,1
Nathalie Käppler isMarriedTo Ansgar von Lahnstein,1
Leonid Trauberg created The Return of Maxim,1
Marty Feldman directed In God We Tru$t,1
Henry IV of France isMarriedTo Margaret of Valois,1
Sandy Lam isMarriedTo Jonathan Lee  record producer ,1
James Poe isMarriedTo Barbara Steele,1
Archduchess Maria Clementina of Austria isMarriedTo Francis I of the Two Sicilies,1
Henrietta Barnett isMarriedTo Samuel Augustus Barnett,1
Marty Feldman actedIn In God We Tru$t,1
Kelly Cramer isMarriedTo Kevin Buchanan,1
Leonid Trauberg directed The Return of Maxim,1
Alan Rudolph directed Choose Me,1
Frederick III of Denmark isMarriedTo Sophie Amalie of Brunswick-Lüneburg,1
Alfonso XII of Spain isMarriedTo Mercedes of Orléans,1
Alan Alda directed Sweet Liberty,1
Dorothy Dandridge isMarriedTo Harold Nicholas,1
Bert Haanstra directed Mirror of Holland,1
Adriana Cramer isMarriedTo Rex Balsom,1
Max Jacoby directed Dust  2009 film ,1
John Wayne isMarriedTo Esperanza Baur,1
Steve Case isMarriedTo Jean Case,1
Alan Keen isMarriedTo Ann Keen,1
Peter Sollett directed Raising Victor Vargas,1
Tom Hanks isMarriedTo Rita Wilson,1
